Timestamp,N1,N2,N3,N4,N5,N6,N7,N8,Q2,Q3,Q4,Q5,Q6,Q7,Q8,S1,S5,S6,S7,T2,V2,V3,V6
2029-07-01T11:00:00,0.0490516059,0.0490516059,0.8264332313,0.77751122,0.7589294846,0.7611961318,0.3021446628,0.3021446628,0.5039130039,0.3564723211,0.1682917833,0.88533143,0.2796942155,0.1051018839,0.4413474214,0.7327115933,0.845109289,0.845109289,0.845109289,0.7641987321,0.8491647319,0.7641987321,0.6867025916
2029-07-01T11:30:00,0.0882228669,0.0882228669,0.9009284828,0.8879075173,0.8711636013,0.8084086701,0.4652393745,0.4652393745,0.7725569495,0.385032458,0.3377609307,0.862275993,0.6311580084,0.1256989089,0.5875668508,0.8813226944,0.856371859,0.856371859,0.856371859,0.7978706784,0.8876217328,0.7978706784,0.8498270998
2029-07-01T12:00:00,0.0882228669,0.0882228669,0.9009284828,0.8879075173,0.8711636013,0.8084086701,0.4652393745,0.4652393745,0.7725569495,0.385032458,0.3377609307,0.862275993,0.6311580084,0.1256989089,0.5875668508,0.8813226944,0.856371859,0.856371859,0.856371859,0.7978706784,0.8876217328,0.7978706784,0.8498270998
2029-07-01T12:30:00,0.1567273227,0.1567273227,0.9059320785,0.8533249662,0.8794181349,0.8621272117,0.8619197436,0.8619197436,0.7293278798,0.4987502587,0.2879616342,0.861211976,0.4009878744,0.0939578959,0.4422469533,0.8216801878,0.881689413,0.881689413,0.881689413,0.4460718764,0.842024748,0.4460718764,0.7785976846
2029-07-01T13:00:00,0.1567273227,0.1567273227,0.9059320785,0.8533249662,0.8794181349,0.8621272117,0.8619197436,0.8619197436,0.7293278798,0.4987502587,0.2879616342,0.861211976,0.4009878744,0.0939578959,0.4422469533,0.8216801878,0.881689413,0.881689413,0.881689413,0.4460718764,0.842024748,0.4460718764,0.7785976846
2029-07-01T13:30:00,0.2082997116,0.2082997116,0.831341297,0.7818816403,0.8356832295,0.8442518343,0.8121734969,0.8121734969,0.7143708471,0.259574639,0.7083622238,0.766023163,0.3621074816,0.076343419,0.2845913089,0.8551960045,0.87584155,0.87584155,0.87584155,0.5534581243,0.7575684091,0.5534581243,0.788674938
2029-07-01T14:00:00,0.2082997116,0.2082997116,0.831341297,0.7818816403,0.8356832295,0.8442518343,0.8121734969,0.8121734969,0.7143708471,0.259574639,0.7083622238,0.766023163,0.3621074816,0.076343419,0.2845913089,0.8551960045,0.87584155,0.87584155,0.87584155,0.5534581243,0.7575684091,0.5534581243,0.788674938
2029-07-01T14:30:00,0.0402465217,0.0402465217,0.6811343725,0.5998846795,0.5423225921,0.4855553462,0.5738463725,0.5738463725,0.5039411898,0.1941619818,0.58109608,0.665051717,0.703561969,0.1150520996,0.5494352961,0.3431344659,0.841047705,0.841047705,0.841047705,0.6996859088,0.6635497122,0.6996859088,0.6296755323
2029-07-01T15:00:00,0.0402465217,0.0402465217,0.6811343725,0.5998846795,0.5423225921,0.4855553462,0.5738463725,0.5738463725,0.5039411898,0.1941619818,0.58109608,0.665051717,0.703561969,0.1150520996,0.5494352961,0.3431344659,0.841047705,0.841047705,0.841047705,0.6996859088,0.6635497122,0.6996859088,0.6296755323
2029-07-01T15:30:00,0.3263474657,0.3263474657,0.4277801534,0.3149641999,0.4969495843,0.5837893404,0.4906992672,0.4906992672,0.2520289799,0.1041572546,0.23167536,0.724085409,0.538863884,0.1134520482,0.3444730934,0.6673797691,0.740859524,0.740859524,0.740859524,0.5718897699,0.4041535502,0.5718897699,0.3661885941
