Scheme,7,8,9,10,11,12,1,2,3,4,5,6
Snowy,640.1974786,383.8115629,401.0827585,441.9137038,204.1450753,317.6532027,281.0664226,279.2292432,84.32006532,276.9965474,369.231969,638.3368868
Tasmania,1143.07143,1434.879526,1052.60158,756.8831257,435.083184,278.0493469,224.1213813,111.8638021,335.5950534,434.1251464,970.992498,1021.57921
FarNorthQLD,53.3,85.3,92.7,69.2,52.2,57.1,46.8,46.8,52,33.8,51.2,67.3
OvensMurray,65.8,88.4,107.4,84.2,42.9,23.2,13.9,9.5,6,8.4,15.2,39.7
