ScenarioName,Region,TechID,FYE2015,FYE2016,FYE2017,FYE2018,FYE2019,FYE2020,FYE2025,FYE2030,FYE2035,FYE2040,FYE2045,FYE2050,FYE2055,FYE2060,FYE2070
Scen1_BAU,SWNSW,CCGTg_Exi,0,0,0,0,0,0,0,0,0,0,346.6112223,639.193529,654.3249242,654.3249242,0
Scen1_BAU,CQ,CCGTg_Exi,180,180,180,180,180,180,180,180,180,180,180,79.37258529,0,0,0
Scen1_BAU,NQ,CCGTg_Exi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scen1_BAU,SEQ,CCGTg_Exi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scen1_BAU,SWQ,CCGTg_Exi,770,770,770,770,770,770,770,770,770,770,770,309.7149806,169.4226504,0,0
Scen1_BAU,ADE,CCGTg_Exi,226.4613525,352.2354427,80.95946125,79.68728946,0,0,0,0,0,0,0,0,0,0,0
Scen1_BAU,NSA,CCGTg_Exi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scen1_BAU,SA,CCGTg_Exi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scen1_BAU,SESA,CCGTg_Exi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scen1_BAU,TAS,CCGTg_Exi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scen1_BAU,CVIC,CCGTg_Exi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scen1_BAU,LV,CCGTg_Exi,0,0,0,0,0,0,0,0,0,0,0,346.60584,620.0005375,449.5440903,0
Scen1_BAU,MEL,CCGTg_Exi,0,0,0,27.49476858,0,0,0,0,0,0,0,0,0,0,0
Scen1_BAU,NVIC,CCGTg_Exi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scen2_DDC,CAN,StSubBlack_Exi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scen2_DDC,NCEN,StSubBlack_Exi,8009.367914,8009.367914,8009.367914,8009.367914,8009.367914,7995.027724,7995.027724,6198.318319,3175.344578,1314.738823,0,0,0,0,0
Scen2_DDC,NNS,StSubBlack_Exi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scen2_DDC,SWNSW,StSubBlack_Exi,881.5191601,881.5191601,881.5191601,881.5191601,881.5191601,881.5191601,881.5191601,881.5191601,881.5191601,881.5191601,881.5191601,673.5524097,523.0447302,523.0447302,0
Scen2_DDC,CQ,StSuperBlack_Exi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scen2_DDC,CQ,StSubBlack_Exi,4603.012638,4603.012638,4603.012638,4603.012638,4603.012638,3795.931428,3524.717599,1811.14236,1647.945396,1156.153183,49.7761208,0,0,0,0
Scen2_DDC,NQ,StSubBlack_Exi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scen2_DDC,SEQ,StSubBlack_Exi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scen2_DDC,SWQ,StSuperBlack_Exi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scen2_DDC,SWQ,StSubBlack_Exi,3335.726743,3335.726743,3335.726743,3276.049678,2387.787609,2387.787609,2387.787609,2226.470588,1569.974409,1442.343605,1053.078094,0,0,0,0
Scen2_DDC,ADE,StSubBlack_Exi,352.2354427,352.2354427,80.95946125,79.68728946,0,0,0,0,0,0,0,0,0,0,0
Scen2_DDC,NSA,StSubBlack_Exi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scen2_DDC,SA,StSubBlack_Exi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scen2_DDC,SESA,StSubBlack_Exi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scen2_DDC,TAS,StSubBlack_Exi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scen2_DDC,CVIC,StSubBlack_Exi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
